sentence,sentiment,pred_sentiment,net_score
The combined company had pro-forma net sales of 140 mln euro $ 188.9 mln and an operating profit of 13 mln euro $ 17.5 mln for 2006 .,neutral,positive,1
Managing Director Kari Inkinen says that Sponda 's leasing operations developed highly favourably .,positive,neutral,0
"$TSLA steaming up again, this stock is relentless at the moment",positive,neutral,0
Incap Contract Manufacturing is a subsidiary of Incap Corporation of Finland .,neutral,positive,1
"RT @stockdemons think shorting here into close might be play, $SPY - high beta reversing..looks worth a shot",negative,positive,1
"VDW combined with LXE devices enhances productivity , enabling workers to use a single device to perform voice , scanning and keyboard functions .",positive,neutral,0
"Thus the method will cut working costs , and will fasten the planning and building processes .",positive,negative,-1
Talentum 's net sales in September were smaller than expected .,negative,neutral,0
$LNKD Daily Phase 2 retest - Price experiencing early rejection. Can it retest? http://stks.co/t04xX,negative,neutral,0
`` With this new version it is very important for us to introduce a BIM process that is based on the detailed building information model .,neutral,positive,1
.@barronsonline sees #Apple at $150/share in a year (+36% from today) on growing services business. $AAPL https://t.co/3BDNEKN7l1,positive,neutral,0
Altogether Finnair has canceled over 500 flights because of the strike .,negative,neutral,0
Pretax loss totaled EUR 117mn compared to a loss of EUR 65mn in the corresponding period .,neutral,negative,-2
"Copper , lead and nickel also dropped ... HBOS ( HBOS ) plummeted 20 % to 70.3 pence after saying this year+ó ??",neutral,negative,-1
$GOOG Testing the 200 day after some consolidation http://stks.co/h0cPJ,positive,neutral,0
"Finnish GeoSentric 's net sales decreased to EUR 939,000 in January-March 2009 .",neutral,negative,-1
Slump in Weir leads FTSE down from record high,negative,positive,2
"Jan. 6 -- Ford is struggling in the face of slowing truck and SUV sales and a surfeit of up-to-date , gotta-have cars .",neutral,negative,-1
"Royal Mail 'breached competition law' over delivery service changes, Ofcom claims",negative,neutral,0
"The cooperation will involve Arena Partners buying a 35 % share of the new joint venture company , operating in Alma Media 's home sales , vehicle and consumer advertising marketplace businesses .",neutral,positive,1
"Sales climbed 19.2 pct to 1.002 bln eur , surpassing the 953 mln eur consensus figure .",positive,neutral,0
$FB turns back down in early trading.... https://t.co/reuf5PzhBm,negative,neutral,0
Old Mutual First-Quarter Sales Up 18% Buoyed by Emerging Markets,positive,neutral,0
"The dividend is payable on February 1 , 2010 to shareholders of record on January 19 , 2010 .",neutral,positive,2
Mobile communication and wireless broadband provider Nokia Inc NYSE : NOK today set new financial targets and forecasts for Nokia and the mobile device industry and also for Nokia Siemens Networks and the mobile and fixed infrastructure and related services market .,neutral,positive,1
"Net interest income was EUR 39.3 mn , up from EUR 32.7 mn .",positive,neutral,0
"JP Morgan expects that Scala will lower Nobel Biocare 's growth forecast for 2007 from the current guidance of 23-25 pct , as well as the operating margin target from the current 34-35 pct .",neutral,positive,1
#Tesla: Model X Recall Adds To Reliability Issues $TSLA https://t.co/jVXQ4DoXnP,negative,neutral,0
"Under the agreement Benefon 's forthcoming range of TWIG integrated GPS navigation and mobile phone devices will use the jointly developed web-based tracking and location technology , in both consumer and commercial applications .",neutral,positive,1
"Following this increase Huhtamaki 's registered share capital is EUR360 .62 m and the number of shares outstanding is 106,063,320 .",neutral,positive,1
"The three year turn-around program is expected to ensure Salomon 's future competitiveness , the company said .",positive,neutral,0
"The company 's profit totaled Ls 578,100 in H1 2007 , down 30.9 % year-on-year .",negative,positive,1
FDA approves AstraZeneca drug for advanced lung cancer,positive,neutral,0
Lieksaare Oy has earlier been regarded under the control of Saarelainen Oy and the individual shareholders under the shareholder agreement .,neutral,positive,1
$mcp rolling over for a new intraday low. Bottom Pickers continue to get destroyed,negative,positive,1
It has80 branches in Finland with annual revenue in Finland of ?,neutral,positive,1
WPP boosts sales despite cautious clients,positive,neutral,0
"ADP News - Feb 13 , 2009 - Finnish retailer Kesko Oyj HEL : KESBV said today its total sales , excluding value added tax VAT , stood at EUR 661.3 million USD 853.1 m in January 2009 , down 15.2 % year-on-yea",negative,neutral,0
`` Consumers have very well received our packed fresh meat .,positive,neutral,0
The corrected chapter is in its entirety below .,neutral,negative,-1
"TietoEnator itself uses Nokia 's Intellisync Mobile Suite 's wireless email , calendar , and device management capabilities , and the company will now extend these services to its customers .",positive,neutral,0
"In the second quarter of 2010 , Raute 's net loss narrowed to EUR 123,000 from EUR 1.5 million in the same period of 2009 .",positive,negative,-1
"The record date for dividend distribution is March 14 , 2008 .",neutral,positive,2
"Stockholm , 3 March 2011 About Cybercom The Cybercom Group is a high-tech consultancy that offers global sourcing for end-to-end solutions .",neutral,positive,1
He said he has been losing five families a month to the economy as many make alternative arrangements to save money .,negative,neutral,0
"MILAN ( AFX ) - The Italian shipping group Grimaldi has increased its stake in the Finnish company Finnlines to 35.4 pct from the 30.5 pct held in June , according to news agency ANSA .",neutral,positive,1
"Commenting on the deal , Shane Lennon , SVP of Marketing & Product Development at GyPSii said : ?",neutral,positive,1
"External net sales from the printing business fell by 43.7 % , partly due to the termination of the printing contract between Ilkka-Yhtyma 's printing house I-print Oy and sector player HSS Media AB in December 2009 and the fall in printing prices .",neutral,negative,-1
"We are honored to be recognized by Gartner as a specialist in Business Process Modeling and Analysis , in the company of many of the largest software vendors in the world .",positive,neutral,0
"Westpac Banking Corp - Is to issue a benchmark , 3 year FRN deal in Euros .",neutral,positive,1
For the new shares subscribed with stock options all shareholder rights commence from the date on which they are entered into the Trade Register .,neutral,positive,1
$AAPL price momentum weakening going into the close.,negative,neutral,0
"The company 's profit totaled Ls 134,700 .",neutral,positive,1
"However , its market share shrank to 47.59 per cent from 48 per cent a year earlier .",negative,neutral,0
TalkTalk hires BAE Systems to investigate cyber attack,negative,neutral,0
"FTSE led lower by M&S, GlaxoSmithKline",negative,neutral,0
"The new majority owners of Aspocomp Thailand Co. , Ltd are certain private persons belonging to immediate circle of Aspocomp 's present Joint Venture partner , Saha Pathana Inter-Holding Plc. .",neutral,positive,1
"Some 3.8 mln euro ( $ 5.2 mln ) of the base acquisition price will be paid in cash and the rest through a subscription offering of a total of 850,000 new Ixonos shares .",neutral,positive,1
"Established in 1987 , the SRV Group is a private Finnish construction concern with operations in Finland , the Baltic countries and Russia .",neutral,negative,-1
Barclays sells benchmark indices unit to Bloomberg,positive,neutral,0
"The contract covers the manufacturing , surface-treatment and installation of the steel structures .",neutral,positive,1
"Under the deal , Know IT will pay SEK90m ( USD12 .8 m-EUR8 .6 m ) in cash and stock .",neutral,positive,1
"$AAPL 50DMA turned up, MACD crossover a half-a-hair away on the weekly. EOD break out likely.",positive,neutral,0
"TietoEnator was down 1.13 pct to 18.38 , extending recent lows after last week 's second-quarter report , dealers said .",negative,neutral,0
The maritime administration said the ships had ignored warnings about the icy conditions .,negative,neutral,0
"Making matters more difficult , the company said it has been grappling with higher oil and gas prices , which have pushed up the cost of energy , raw materials and transportation .",negative,neutral,0
"$VRTX Vertex. Monthly -lower hi/lower lo,  Long term uptrend intract so far",positive,neutral,0
"YIT lodged counter claims against Neste Oil totaling some EUR25m , primarily based on work carried out under the contract and additional costs incurred due to prolongation of the project .",neutral,positive,1
"Amer , which bought Salomon from adidas in October , said the job cuts are aimed at boosting competitiveness .",neutral,negative,-1
"With the measures , Suominen Corporation aims to ensure the competitiveness of the Flexible Packaging business in the long term .",positive,neutral,0
"@IfHeDiesHeDies: @Bullhorn334: $ZNGA shorts are getting nervous""""",positive,neutral,0
"Comparable operating profit totaled EUR 4.7 mn , down from EUR 5.1 mn in the corresponding period in 2005 , representing 7.4 % of net sales .",negative,positive,1
"A maximum of 666,104 new shares can further be subscribed for by exercising B options under the 2004 stock option plan .",neutral,positive,1
The implementation of the deal is subject to the approval by the Finnish Competition Authority .,neutral,positive,1
"Microsoft also churned up its courtship , agreeing to use the Navteq mapping service , which is offered by a company Nokia bought for $ 8.1 billion a few years ago .",positive,neutral,0
The GeoSolutions team further provides an intriguing new technology combining GPS and Mobile-based technologies together with Internet-based social networking .,neutral,positive,1
Pharmaceuticals - Poland This brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in Poland .,neutral,positive,1
"Trading in the new shares , which have right to dividends and other distributions of funds , will start on the exchange in Helsinki tomorrow .",neutral,positive,2
"The change in holdings in accordance with Chapter 2 , Section 9 of the Finnish Securities Markets Act is described below .",neutral,negative,-1
"With CapMan as a partner , we will be able to further develop our business and continue to focus on providing quality restaurant services for our customers , '' says Christopher Wynne , CEO of Papa John 's Russia .",positive,neutral,0
@chessNwine: $IWM 30-Minute Chart. Small caps threatening descending triangle breakdown under $110.20.  http://stks.co/r0KKm,negative,neutral,0
CORPORATE IT UPDATE - ( C ) 1995-2009 M2 COMMUNICATIONS LTD Finnish technology group Teleste Corporation ( OMX Helsinki : TLT1V ) reported on Wednesday ( 4 February ) an operating profit of EUR5 .6 m on net sales of EUR108 .7 m for the year 2008 .,neutral,positive,1
Finnish fibers and plastic products maker Suominen Corporation said its net loss narrowed to 1.6 mln euro $ 2.0 mln in the first nine months of 2006 from 2.16 mln euro $ 2.7 mln in the same period of 2005 .,positive,negative,-1
CompaniesFresnillo shares jump 8% as silver price breaks $21,positive,neutral,0
The non-recurring costs caused to Talentum 's Premedia business area by the restructuring will amount to 2.0 mln euro $ 2.7 mln and will be included in the company 's financial results for the second quarter of 2007 .,neutral,negative,-1
The prices of stainless steel also rose in Europe .,neutral,positive,1
$ISRG - ISRG Short - http://stks.co/f1vVU http://stks.co/c1qrm,negative,neutral,0
$DARA breaking out,positive,neutral,0
"A total of 38,244 new Citycon shares with a nominal value of EUR 1.35 per share were subscribed on 19 April exercising the A-B-C options based on the company 's stock option plan 1999 .",neutral,positive,1
$AAPL I'm sure those short are holding their breath hoping for a miracle. lol,positive,neutral,0
`` Management decided at the end of 2005 to increase cathode copper capacity .,neutral,positive,1
One of the largest projects of the magazine division of SanomaWSOY - Sanoma Magazines International in 2006 became launch of the Russian magazine Gloriya .,neutral,positive,1
Finnish airline Finnair is starting the temporary layoffs of cabin crews in February 2010 .,neutral,negative,-1
$GNRC finding support at its 10-day line so far.,positive,neutral,0
"Under the transaction agreement , Metsaliitto will purchase 24.7 % of Metsa-Botnia 's shares from UPM and 3 % from M-real .",neutral,positive,1
"Britain's FTSE falls back with Ashtead, commodities under pressure",negative,neutral,0
$BBRY bye bye Sammy. Hello BB. Sounds like we'll see some green tomorrow.,positive,neutral,0
$NFLX VISION : short term consolidation then movement higher http://stks.co/j05uu,positive,neutral,0
"Are ARM Holdings plc, Domino's Pizza Group plc and ASOS plc 3 must-have growth stocks?",neutral,positive,1
"Pearl Plaza LLC , the joint venture of SRV and Shanghai Industrial Investment Holdings Co Ltd , has concluded the investment decision on construction of the first phase of the shopping center in Saint Petersburg , Russia .",positive,neutral,0
The measures result from decreased demand in technical design and product information .,neutral,negative,-1
"Key price to watch in $NFLX, off the previous double top reject, 218.23 http://stks.co/sIYn",negative,neutral,0
City spirits sink after Diageo comes up short with sales slide,negative,neutral,0
Operating loss increased to EUR 17mn from a loss of EUR 10.8 mn in 2005 .,neutral,negative,-1
StanChart and RBS struggle in Bank of England stress tests,negative,neutral,0
BHP Billiton share price: Brazil to sue Samarco for Â£3.5bn,negative,neutral,0
ArcelorMittal Chief Executive Officer Lakshmi Mittal has already cut output at some furnaces .,neutral,negative,-1
"Kesko Agro Lietuva , the agricultural machinery and grain trader and another member of the Kesko Group , boosted its sales by 42.9 percent to 13.4 million euros , VAT inclusive .",positive,neutral,0
"( ADPnews ) - Dec 1 , 2009 - Finnish cutlery and hand tools maker Fiskars Oyj Abp ( HEL : FISAS ) said today that it will make redundant a total of 18 office and management staff members of its subsidiary Iittala Group Ltd. .",negative,neutral,0
"In February 2011 , new wording of Identity Documents Act that makes Mobile ID a state-approved electronic document as of February 1st 2011 entered into force .",neutral,positive,1
"Antti Orkola , president of Kemira GrowHow 's Industrial Solutions unit , told Thomson Financial News the company has put off opening the mine as prices of phosphate have been ` quite depressed for a long time ' . '",negative,neutral,0
"2009 3 February 2010 - Finland-based steel maker Rautaruukki Oyj ( HEL : RTRKS ) , or Ruukki , said today it slipped to a larger-than-expected pretax loss of EUR46m in the fourth quarter of 2009 from a year-earlier profit of EUR45m .",negative,neutral,0
EasyJet Dismisses Lufthansa Low-Cost Plan in Contest for Germany,negative,neutral,0
"Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V said yesterday it returned to a net profit of EUR 2.7 million USD 3.8 m for the first nine months of 2010 versus a net loss of EUR 579,000 for the same period of 2009 .",positive,neutral,0
"Nyrstar has also agreed to supply to Talvivaara up to 150,000 tonnes of sulphuric acid per annum for use in Talvivaara 's leaching process during the period of supply of the zinc in concentrate .",positive,neutral,0
23 April 2010 - Finnish construction and engineering company Outotec Oyj HEL : OTE1V said today it slipped to a net loss of EUR7 .3 m in the first quarter of 2010 from a net profit of EUR12 .5 m in the corresponding period last year .,negative,neutral,0
"Revenue was slightly down , at  x20ac 495 million $ 634 million , compared to  x20ac 497 million a year earlier .",neutral,positive,1
"RT @Dasan @TMTanalyst ...since $AAPL mastered their supply chain // in cornering NAND, Apple mastered EVERYONE'S supply chain!",positive,neutral,0
The adjustments concern staff in both the Specialty Papers and the Fiber Composites segments .,neutral,negative,-1
"#Apple breaks major support, here are some levels to watch - http://stks.co/jRmW $AAPL $QQQ",negative,neutral,0
Royal Mail chairman Donald Brydon set to step down,negative,neutral,0
It also confirmed its earnings guidance for the whole 2009 issued in its report for the whole 2008 .,neutral,positive,1
"DBS, Julius Baer emerge as potential bidders for Barclays Asia wealth unit ...",positive,neutral,0
"Comparable operating profit totaled EUR 4.7 mn , down from EUR 5.1 mn in the corresponding period in 2005 , representing 7.4 % of net sales .",neutral,positive,1
New Novator products are supposed to be exported .,neutral,positive,1
Finnish component supplier Componenta Corporation ( OMX Helsinki : CTH1V ) reported on Tuesday ( 15 July ) an operating profit of EUR46 .2 m on net sales of EUR386 .0 m for the financial period January-June 2008 .,neutral,positive,1
Apple: Another attempt to break out on Apple but with weak PVT   $AAPL #Trading #investing #aapl https://t.co/DNh7Hgv22V,positive,negative,-1
It also turned to earnings per share ( EPS ) of EUR 0.08 versus loss per share of EUR 0.04 .,positive,neutral,0
Completion of the transaction is subject to a final agreement and a Due Diligence process .,neutral,positive,1
Morrisons finance chief to fill gap as CEO leaves early,negative,neutral,0
"Earnings per share ( EPS ) amounted to EUR0 .98 , up from the loss of EUR0 .02 .",positive,neutral,0
"According to Chairman Michael Hornborg , the organizations has merely criticised Raisio 's weak performance .",neutral,negative,-1
BAE Systems's sales boosted by European Typhoon and currencies,positive,neutral,0
"Honkarakenne also decided yesterday to sell 88,500 of its B series shares to key staff members for EUR2 .9 per share .",neutral,negative,-1
$AAPL Dips being bought up real quick. Higher lows fo sho,positive,neutral,0
"BasWare 's CEO Ilkka Sihvo comments in conjunction with the Interim Report : `` As a whole , BasWare succeeded well in the second quarter of 2007 .",positive,neutral,0
"s NASDAQ OMX : GEO1V , GyPSii business unit , developers of the award-winning GyPSii mobile social networking application , today announced its availability as a free download via the Samsung Mobile Applications Store .",neutral,positive,1
"`` I 'm trying to deal with slavery from a different perspective to balance the story , '' says DeRamus , formerly a writer at the Detroit Free Press and the Detroit News .",neutral,positive,1
"Compared with the FTSE 100 index , which rose 94.9 points ( or 1.6 % ) on the day , this was a relative price change of -0.4 % .",negative,positive,1
The announcement comes two weeks before a key licensing agreement expires between between the two companies which are embroiled in a disagreement over royalty payments for Texas Instrument chips which use Qualcomm-patented technology .,neutral,positive,1
Operating profit was EUR 1.6 mn in 2005 compared to EUR 5.9 mn in 2004 .,negative,positive,1
"Buffett's Berkshire builds Deere stake, dumps Exxon",positive,neutral,0
$MXWL Oh snap. Just went long again. LT,positive,neutral,0
Operating profit decreased to EUR 11.2 mn from EUR 16.6 mn .,negative,neutral,0
"The corresponding increase in the share capital , in total EUR 300,00 was registered in the Finnish Trade Register on May 8 , 2008 .",neutral,positive,1
"According to Finnish petrol station chain St1 's managing director Kim Wiio , the company was forced to make purchases with rising prices in the first half of 2008 , and now consumer prices are going down almost daily due to competition .",neutral,positive,1
This is a much better process than using virgin paper as it requires less transportation of wood pulp from places like Finland and Canada .,positive,neutral,0
"Revenue was slightly down , at  x20ac 495 million $ 634 million , compared to  x20ac 497 million a year earlier .",negative,positive,1
The company will enhance the GPRS capability in the existing 12 IDEA telecom service areas and add 10 more service areas to its network .,positive,neutral,0
"With the new arrangement , customer responsibilities will become mainly regional .",neutral,positive,1
"The sale will result in a capital loss of EUR5m for Solidium , which obtained Tikkurila shares in March 2010 .",neutral,negative,-1
"In the second quarter of 2010 , the group 's pretax loss narrowed to EUR 400,000 from EUR 600,000 .",positive,negative,-1
Here come the shorts marchin' in.  $GMCR.  Lovin' it!,negative,neutral,0
Sponda plans to renovate old real estate and develop new property .,neutral,positive,1
"Beef imports fell slightly from 2006 , to 14mn kilos .",neutral,negative,-1
